,time,velocity_x,velocity_y,velocity_z,elapsed,speed
1730,11:50:48.015771,55.92333339361357,-708.2066934734587,703.8554009638736,1028.3,1000.0482815166866
1731,11:50:48.613540,55.760866164247226,-708.4168494671587,704.4759506188344,1028.9,1000.6248406893927
1732,11:50:49.210798,55.75765730093112,-708.6919676095251,704.7654624782514,1029.4,1001.0232656657546
1733,11:50:49.812835,55.590574246150204,-709.2402499347928,705.1927849255512,1030.1,1001.7030038807105
1734,11:50:50.410009,55.63494185010786,-709.5926809638742,705.5577209793041,1030.6,1002.211912354704
1735,11:50:51.007269,55.72120411495563,-709.9550987571482,706.0409718237828,1031.2,1002.8135164292333
1736,11:50:51.604710,55.83001384238596,-710.2971088379626,706.5575603805493,1031.8,1003.4254129730435
1737,11:50:52.194900,55.89285582254526,-710.7311707228428,706.9832013092946,1032.4,1004.0358834735944
1738,11:50:52.786858,55.970244553190426,-711.2332582920794,707.2879198513936,1033.0,1004.6101818834125
1739,11:50:53.384251,56.00370209093089,-711.6654386252169,707.6770062409352,1033.6,1005.1919499994241
1740,11:50:53.982496,56.023631145310354,-712.0363958209758,708.1118588767957,1034.2,1005.7618410450768
1741,11:50:54.581119,56.02081721887807,-712.4303659766917,708.51308136806,1034.8,1006.3230817174061
1742,11:50:55.179934,56.02358110227505,-712.8855592697865,708.8337377034139,1035.4,1006.8712578882722
1743,11:50:55.778804,56.09864235498824,-713.2735952705151,709.2753163896512,1036.0,1007.4610433281473
1744,11:50:56.374503,56.16817584314264,-713.685367891193,709.719527002425,1036.6,1008.0691818164464
1745,11:50:56.971010,56.171812531881706,-714.1137850850827,710.0637244425725,1037.2,1008.6150223652819
1746,11:50:57.569434,56.21196157538213,-714.570859894157,710.4785451971005,1037.8,1009.2329075190798
1747,11:50:58.166732,56.24367350020327,-715.0185269087559,710.7725898168992,1038.4,1009.7586439672536
1748,11:50:58.765269,56.24789205926352,-715.479654321075,711.1765904687355,1039.0,1010.3697857414636
1749,11:50:59.362650,56.32266237723522,-715.911255690456,711.4880350612113,1039.6,1010.8988042117811
1750,11:50:59.959965,56.316442118835376,-716.2461737245327,711.9649985574197,1040.2,1011.4713452188471
1751,11:51:00.557420,56.30533451462977,-716.6369597047573,712.3969268344352,1040.8,1012.0514829161755
1752,11:51:01.143967,56.30838933304765,-717.0144299834973,712.786013223977,1041.4,1012.5928244667612
1753,11:51:01.736759,56.378068290807974,-717.4636890858417,713.2242288850258,1042.0,1013.2232885250456
1754,11:51:02.335202,56.40948928088761,-717.8676459640269,713.5638935349891,1042.6,1013.7501752205409
1755,11:51:02.934833,56.4222904251597,-718.2108139365916,713.9668706558655,1043.2,1014.2775460920013
1756,11:51:03.533778,56.47713168875194,-718.5774290651087,714.3150159500549,1043.8,1014.7852629878585
1757,11:51:04.133103,56.51786260173537,-719.0240829199557,714.730129172654,1044.4,1015.3960105097472
1758,11:51:04.726207,56.555247760721215,-719.4138557046656,715.1791649721572,1045.0,1015.990172117527
1759,11:51:05.323350,56.57444947824693,-719.8263519853357,715.5303808949897,1045.6,1016.5305560237784
1760,11:51:05.920375,56.59015997328676,-720.2045459598307,715.8975345753144,1046.2,1017.0576749811298
1761,11:51:06.517401,56.58127388969876,-720.4455306202177,716.3465703748176,1046.8,1017.5439115995887
1762,11:51:07.118130,56.58447417576678,-720.8558558493858,716.6501191876839,1047.4,1018.048309738698
1763,11:51:07.713728,56.598439060122445,-721.2697994858031,717.0337954901169,1048.0,1018.6122769873215
1764,11:51:08.314998,56.618077179760405,-721.711677077413,717.3806248568008,1048.6,1019.1704040116939
1765,11:51:08.910164,56.60302020550586,-722.0302158921961,717.7477541528651,1049.1,1019.6535554536149
1766,11:51:09.501089,56.664262046822095,-722.4308438628917,718.1830454550693,1049.7,1020.2470531870597
1767,11:51:10.098562,56.69160994605043,-722.7654724329715,718.6670273624369,1050.3,1020.8262158651164
1768,11:51:10.692346,56.723758272983815,-723.1058904260402,719.1181102238605,1050.9,1021.3865918316066
1769,11:51:11.287435,56.75459739358046,-723.5568863481287,719.4845328055331,1051.5,1021.9655791921285
1770,11:51:11.887504,56.80522010118582,-723.996882387996,719.8695251069971,1052.1,1022.5509532126287
1771,11:51:12.487531,56.843914466508416,-724.386944636703,720.2105057559917,1052.7,1023.0693274520916
1772,11:51:13.084421,56.871116898366,-724.8033487886195,720.4725286088893,1053.3,1023.5501369412989
1773,11:51:13.685753,56.91926665396312,-725.224094972015,720.8965611420582,1053.9,1024.1492287312667
1774,11:51:14.282967,56.95592447609523,-725.6292097419505,721.3299516163776,1054.5,1024.7432002519167
1775,11:51:14.879679,57.03404055029966,-726.0102984279398,721.7244480572649,1055.1,1025.2950863670824
1776,11:51:15.481319,57.20467397958856,-726.4288736313587,722.1187982998797,1055.7,1025.8785708009004
1777,11:51:16.068579,57.2072923956148,-726.7933177083736,722.5532123051591,1056.3,1026.4425680871223
1778,11:51:16.656133,57.35057793238089,-727.2350505679852,722.9199273191401,1056.9,1027.021484136972
1779,11:51:17.247490,57.498082020663446,-727.6488494724041,723.3894336663195,1057.5,1027.6532247381151
1780,11:51:17.838345,57.73504866042057,-728.0616352170711,723.8740004740663,1058.1,1028.2998828557286
1781,11:51:18.425650,57.73737614128621,-728.4307108610874,724.3054900847384,1058.7,1028.8650776929705
1782,11:51:19.020826,57.74188563536735,-728.7767735451465,724.7630065642305,1059.3,1029.43242939963
1783,11:51:19.608170,57.75049246597918,-729.0914527207618,725.1396400295206,1059.8,1029.9208529555447
1784,11:51:20.195174,57.78264079291257,-729.4849886447197,725.580195184798,1060.4,1030.5114273405215
1785,11:51:20.792623,57.814061782992205,-729.8780903726821,726.0059823475787,1061.0,1031.0912563640493
1786,11:51:21.384983,57.846210109925586,-730.2723499923949,726.4294299803682,1061.6,1031.6702990437882
1787,11:51:21.974469,57.86497542310389,-730.6605306893592,726.8357700906703,1062.2,1032.2322428461873
1788,11:51:22.565094,57.905851805693224,-731.0744743257766,727.2380161128947,1062.8,1032.810779748097
1789,11:51:23.156511,57.93858200434478,-731.4885626941925,727.6352907143543,1063.4,1033.385461930858
1790,11:51:23.753701,57.9762581003073,-731.8435989409691,728.0853500448176,1064.0,1033.9557905268812
1791,11:51:24.347064,58.01218858558566,-732.2086219817405,728.5531017623849,1064.6,1034.545553475767
1792,11:51:24.941468,58.063975032157025,-732.5840659767396,729.0014064632364,1065.2,1035.1298901804178
1793,11:51:25.538051,58.10368767131002,-732.9968517214065,729.4323112450547,1065.8,1035.727724763029
1794,11:51:26.133105,58.1487826143566,-733.395742872358,729.8506412588068,1066.4,1036.3071721882084
1795,11:51:26.729135,58.19431395728023,-733.7928972035652,730.2698486052461,1067.0,1036.8860332482493
1796,11:51:27.330223,58.24100903916985,-734.1887489110236,730.6884710513062,1067.6,1037.4636262967151
1797,11:51:27.927563,58.28668584722908,-734.585903242231,731.1085556946703,1068.2,1038.0431143257993
1798,11:51:28.525222,58.33163532066972,-734.982912805677,731.5282016716905,1068.8,1038.6221505612705
1799,11:51:29.127037,58.37687572885187,-735.3810802608734,731.9487249456354,1069.4,1039.2026408622394
1800,11:51:29.725241,58.421970671898436,-735.7782345920806,732.3680784545846,1070.0,1039.781582591213
1801,11:51:30.314685,58.46662920612723,-736.1753889232878,732.7878706298775,1070.6,1040.3608092048407
1802,11:51:30.910247,58.5040871006611,-736.5062302261595,733.1374537490315,1071.1,1040.8432549904157
1803,11:51:31.502604,58.54918204370768,-736.9028055936103,733.5570997260518,1071.7,1041.421994279081
1804,11:51:32.089737,58.593840577936476,-737.3002493888144,733.9760146044201,1072.3,1042.0008089810049
1805,11:51:32.689249,58.638935520983054,-737.6968247562653,734.3958067797132,1072.9,1042.579652127422
1806,11:51:33.288870,58.684466863906685,-738.094123819471,734.8153065226979,1073.5,1043.1588263385304
1807,11:51:33.886421,58.72883446786433,-738.4909886866812,735.2358297966427,1074.1,1043.7383492936071
1808,11:51:34.484402,58.773638471699066,-738.8872745901351,735.656206872315,1074.7,1044.3173846298844
1809,11:51:35.085687,58.818151540792286,-739.2841394573454,736.0761452816434,1075.3,1044.8965046628045
1810,11:51:35.683264,58.863101014232946,-739.6812937885528,736.4963761232802,1075.9,1045.4760605027948
1811,11:51:36.280750,58.908341422415084,-740.07844811976,736.9161682985731,1076.5,1046.0553241393798
1812,11:51:36.882732,58.952854491508305,-740.4750234872106,737.3363991402097,1077.1,1046.634446670915
1813,11:51:37.480093,58.997803964948965,-740.872177818418,737.7563375495382,1077.7,1047.2137978142764
1814,11:51:38.069621,59.043335307872596,-741.2694768816236,738.1759835265584,1078.3,1047.7930785494032
1815,11:51:38.664896,59.08915758553774,-741.6669206768279,738.5965068005033,1078.9,1048.373096577894
1816,11:51:39.257318,59.13439799371988,-742.0637855440382,739.0174687407919,1079.5,1048.952981761373
1817,11:51:39.855245,59.179492936766444,-742.4607951074842,739.4366760872311,1080.1,1049.5317253893868
1818,11:51:40.453812,59.22516974482567,-742.8578046709302,739.8566144965597,1080.7,1050.1110173244201
1819,11:51:41.048953,59.27215576145679,-743.2553931981328,740.275968005509,1081.3,1050.690381022504
1820,11:51:41.644938,59.31710523489745,-743.652836993337,740.6956139825293,1081.9,1051.2697339477832
1821,11:51:42.241444,59.36190923873217,-744.0504255205395,741.1148213289686,1082.5,1051.848872404792
1822,11:51:42.838616,59.40598590794831,-744.4485929757359,741.5351984046406,1083.1,1052.429203898418
1823,11:51:43.440229,59.454135663545436,-744.8469051629309,741.9551368139691,1083.7,1053.0095590368262
1824,11:51:44.036393,59.49981247160464,-745.2449278861287,742.3737592600293,1084.3,1053.5886430016344
1825,11:51:44.637035,59.54679848823578,-745.6438190370802,742.7917968414731,1084.9,1054.1680034668975
1826,11:51:45.234401,59.59392997000247,-746.0419864922766,743.210126855225,1085.5,1054.7470667220514
1827,11:51:45.831738,59.6397522476676,-746.4395750194791,743.6281644366687,1086.1,1055.325440869722
1828,11:51:46.427390,59.68368344727784,-746.8380319744352,744.0469331167645,1086.7,1055.904837925154
1829,11:51:47.017456,59.729505724942975,-747.2344626098875,744.4665790937847,1087.3,1056.483527251436
1830,11:51:47.614707,59.775764406955545,-747.6330642610793,744.8850553058095,1087.9,1057.062952905259
1831,11:51:48.210850,59.81334352616102,-747.9614933043723,745.2363443098969,1088.4,1057.5449117698333
1832,11:51:48.808133,59.859020334220226,-748.3600949555639,745.6559902869171,1089.0,1058.1251295985915
1833,11:51:49.398996,59.90498808149128,-748.7572492867711,746.0753437958664,1089.6,1058.7041345799382
